Country,GDP,info
Ireland,15714.38,"Kevin McGerty,11,198,Honourable mention;Eoghan Burns,9,224,nan;Barrie Gilligan,8,233,nan;Michael Sharpe,8,233,nan;Fergal Daly,4,303,nan;David Malone,2,326,nan"
Iran,,"Kasra Rafie,31,27,Silver medal;Amir Jafari,26,58,Silver medal;Ramin Taklubighash,24,74,Silver medal;Reza Naserasr,23,84,Bronze medal;Abbas Colmakani,18,120,Bronze medal;Hossein Abbaspour,11,198,Honourable mention"
Iraq,30.11,N/A
Iceland,27124.27,"Bjarni Halldórsson,11,198,Honourable mention;Alfreð Hauksson,3,317,nan;Daníel F. Guðbjartsson,2,326,nan"
Israel,,"Rom Pinchasi,27,52,Silver medal;Ilya German,26,58,Silver medal;Omer Angel,21,96,Bronze medal;Alexander Braverman,17,125,Bronze medal;Mark Goldschmidt,11,198,Honourable mention;Avishai Vanunu,6,263,nan"
Italy,23243.47,"Alberto Canonaco,22,88,Bronze medal;Simone Mario Cipolla,15,142,Bronze medal;Marco Lombardi,14,160,Bronze medal;Marco Cammi,12,186,nan;Davide Corticelli,10,210,Honourable mention;Bruno Martelli,10,210,nan"
Jamaica,1452.19,N/A
Jordan,1373.41,N/A
Japan,31992.79,"Hiroki Kodama,35,11,Gold medal;Hiroki Tamura,30,33,Silver medal;Tatsuyuki Iwata,29,40,Silver medal;Atsuo Yamauchi,26,58,Silver medal;Sanefumi Moriyama,14,160,Bronze medal;Yasuyuki Shirano,8,233,Honourable mention"
Kazakhstan,1515.74,"Gani Nazirov,16,130,Bronze medal;Azamat Sarsembaev,16,130,Bronze medal;Almas Rymov,15,142,Bronze medal;Yevgeni Yakovlev,15,142,Bronze medal;Yevgeni Poroshenko,12,186,Honourable mention;Aibatyr Zhumagulov,6,263,nan"
Kenya,332.95,N/A
Kyrgyz Republic,513.04,N/A
Cambodia,,N/A
Kiribati,612.78,N/A
St. Kitts and Nevis,5920.22,N/A
South Korea,8126.66,"Jong Won Park,33,17,Gold medal;Eun Soo Lee,22,88,Bronze medal;Jiwoong Park,20,104,Bronze medal;Young Su Lee,18,120,Bronze medal;Jung Keun Park,16,130,Bronze medal;Joon Hong Park,13,171,nan"
Kuwait,12253.58,N/A
Lao PDR,247.27,N/A
Lebanon,1560.2,N/A
Liberia,,N/A
Libya,7623.93,N/A
St. Lucia,4603.7,N/A
Latin America & Caribbean,2972.16,N/A
Sri Lanka,550.54,N/A
Lesotho,447.15,N/A
Late-demographic dividend,1131.27,N/A
Lithuania,,"Aidas Sapnagis,10,210,nan;Mindaugas Kavaliauskas,9,224,nan;Darius Krasauskas,7,253,nan"
Latvia,,"Andris Ambainis,24,74,Silver medal;Valdis Kauķis,12,186,nan"
"Macao SAR, China",13197.53,N/A
St. Martin (French part),,N/A
Morocco,1317.33,"Adil Rechaï,11,198,nan;Tarik Tamim,10,210,Honourable mention;Malik Benbrahim,8,233,nan;Youssef El Ouerkhaoui,8,233,nan;Mohamed-Reda Laraki,8,233,Honourable mention;Mohamed Marzak,0,346,nan"
Moldova,,N/A
Madagascar,294.29,N/A
Maldives,1191.27,N/A
Middle East & North Africa,2318.72,N/A
Mexico,4272.79,"Antonio Alberto Loaiza Rivera,11,198,Honourable mention;Angel Emilio de León Gutiérrez,10,210,Honourable mention;Héctor Raymundo Flores Cantú,4,303,nan;Juan Dámaso Torres Rodríguez,4,303,nan;Williams Peralta Lazo,2,326,nan;Edgar Raúl Acosta Villaseñor,1,343,nan"
Marshall Islands,1896.55,N/A
Middle income,918.53,N/A
North Macedonia,1207.54,N/A
Mali,304.03,N/A
Malta,8220.25,N/A
