,Name,Team,IMO,Name,Team,IMO,Fields_Medal,Wolf_Prize,EMS_Prize,AMS_research_prizes,Clay_Award,Abel_Prize,Person_Image,Country_Flag,Wikipedia_URL
24,Zoltán Szabó,Hungary,['S 1985'],,,,2007 (Veblen),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/125px-Flag_of_Hungary.svg.png,https://en.wikipedia.org/wiki/Zoltán_Szabó
25,Jeremy Kahn,United States,"['G 1986': 'G 1985': 'S 1984': 'S 1983']",,,,,2012,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Jeremy_Kahn_and_Vladimir_Markovic.jpg/220px-Jeremy_Kahn_and_Vladimir_Markovic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg/125px-Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg.png,https://en.wikipedia.org/wiki/Jeremy_Kahn
26,Ricardo Pérez-Marco,Spain,"['S 1986': 'R 1985']",,,1996,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Bandera_de_Espa%C3%B1a.svg/125px-Bandera_de_Espa%C3%B1a.svg.png,https://en.wikipedia.org/wiki/Ricardo_Pérez-Marco
27,Dominic Joyce,United Kingdom,['S 1986'],,,2000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/125px-Flag_of_the_United_Kingdom_%281-2%29.svg.png,https://en.wikipedia.org/wiki/Dominic_Joyce
28,Stanislav Smirnov,Soviet Union,"['P 1987': 'P 1986']",2010,,2004,,2001,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Stanislav_Smirnov2.jpg/220px-Stanislav_Smirnov2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Stanislav_Smirnov
29,Terence Tao,Australia,"['G 1988': 'S 1987': 'B 1986']",2006,,,2002 (Bôcher),2003,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Terence_Tao%2C_PCAST_Member_%28cropped%29.jpg/220px-Terence_Tao%2C_PCAST_Member_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png,https://en.wikipedia.org/wiki/Terence_Tao
30,Elon Lindenstrauss,Israel,['B 1988'],2010,,2004,2001 (Blumenthal),,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Elon_Lindenstrauss_MFO.jpg/220px-Elon_Lindenstrauss_MFO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/125px-Flag_of_Israel.svg.png,https://en.wikipedia.org/wiki/Elon_Lindenstrauss
31,Ngô Bảo Châu,Vietnam,"['G 1989': 'P 1988']",2010,,,,2004,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ngo_Bau_Chau_MFO.jpg/200px-Ngo_Bau_Chau_MFO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/125px-Flag_of_Vietnam.svg.png,https://en.wikipedia.org/wiki/Ngô_Bảo_Châu
32,Emmanuel Grenier,France,['B 1989'],,,2000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Emmanuel_Grenier
33,Vincent Lafforgue,France,"['P 1991': 'P 1990']",,,2000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/ICM_2018_Vincent_Lafforgue.jpg/220px-ICM_2018_Vincent_Lafforgue.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Vincent_Lafforgue
